date,hashtags,name,time,tweet,urls,username
2020-03-17,[],Alex Vanopslagh,07:55:07,Du kommunikerer om velhavende mennesker på samme måde som Nye Borgerlige kommunikerer om muslimer.,[],alexvanopslagh
2020-03-23,[],Morten Messerschmidt,18:18:19,"Sjovt, for på samrådet var @Joymogensens første reaktion på forslaget, at FOM jo “havde afvist sagen”. Der skulle er flertal på banen, før hun blev klogere... https://twitter.com/MBrgger/status/1242137735412023297 …",['https://twitter.com/MBrgger/status/1242137735412023297'],mrmesserschmidt
2020-04-05,[],Anne Paulin,12:14:05,I lige måde 😘,[],paulin_anne
2020-06-25,['#dkpol'],Rasmus Stoklund,10:39:56,Nu har @berlingske berigtiget. Trækker du også i land @MortenDahlin eller er fakta underordnet? #dkpol  https://twitter.com/martin_borre/status/1276070949138444289?s=21 … https://twitter.com/martin_borre/status/1276070949138444289 …,"['https://twitter.com/martin_borre/status/1276070949138444289?s=21', 'https://twitter.com/martin_borre/status/1276070949138444289']",rstoklund
2020-02-14,[],Rasmus Stoklund,19:54:00,"Fordi den tegner billede af at kultur/identitet er noget man har i resten af verden, mens vi blot er gode til at shoppe rundt. I dansk sammenhæng har vores kultur og nationale identitet udviklet sig gennem århundreder. Fra landboreformerne, tiden efter Struensee, helstaten... (1)",[],rstoklund
2020-01-06,['#dkpol'],Mogens Jensen,08:04:45,"Idag tager jeg første spadestik til det store elefantanlæg i Knuthenborg, der snart skal være nyt hjem for Ramboline, Jenny, Lara og Djungla. I den anledning var mine ovenboer, Birgit og Helge, så søde at komme forbi med denne lille fant, Jumbo, som nu bor hos mig. Tak! #dkpol pic.twitter.com/1xCGBkbmdy",[],mogensjensens
2020-04-28,"['#dkenergi', '#dkgreen', '#cybersikkerhed']",Dan Jørgensen,20:41:34,"Ros til @EnerginetDK, @DanskEnergi og @DkFjernvarme for vigtigt initiativ! Nyt kompetencecenter skal sikre, at #dkenergi er bedre rustet mod cybertrusler. Glæder mig til at følge arbejdet #dkgreen #cybersikkerhed https://www.danskenergi.dk/nyheder/pressemeddelelse/nyt-center-skal-styrke-cybersikkerheden-energisektoren …",['https://www.danskenergi.dk/nyheder/pressemeddelelse/nyt-center-skal-styrke-cybersikkerheden-energisektoren'],danjoergensen
2020-02-13,[],Pia Olsen Dyhr,20:23:31,🙏,[],piaolsen
2020-05-08,[],Josephine Fock,01:46:50,Det er f.... sjovt😂 Sådan blev de alle alternative😉👍🏼💚 @alternativet_,[],josephinefock
2020-04-28,[],Søren Pape Poulsen,09:44:56,"Hvor ender vi hvis det er den siddende minister på hvert område der skal være smagsdommer. Retningslinjerne om zoo, dyreparker blev pludselig ændret af politiet efter ministeren havde kritiseret. Det er ikke i orden",[],sorenpape
2020-03-05,[],Simon Emil Ammitzbøll-Bille,12:12:05,Det er jeg enig med dig i,[],ammitzbollbille
2020-05-02,[],Stinus Lindgreen,22:18:10,"Haha, så ikke samme film næste gang 😉",[],stinuslindgreen
2020-06-04,['#dkgreen'],Rasmus Stoklund,19:36:04,Flot ros til #dkgreen 🍀 https://twitter.com/KlimaMin/status/1268559877800169478 …,['https://twitter.com/KlimaMin/status/1268559877800169478'],rstoklund
2020-05-24,['#dkpol'],Simon Emil Ammitzbøll-Bille,09:30:49,"Det er ret ubehageligt at se instrukskommissionens arbejde gjort til en landskamp for eller imod Inger Støjberg. Kommissionen skal undersøge om loven er overholdt.  Hvis ikke de blå partier vil stå på retsstatens side, fortjener vi slet ikke at få regeringsmagten tilbage #dkpol",[],ammitzbollbille
2020-03-17,[],Stinus Lindgreen,11:49:06,Det må nogen i @SSTSundhed eller @DKsundhed vide - hvad siger I?,[],stinuslindgreen
2020-03-31,[],Jakob Ellemann-Jensen,23:03:24,Eller også har du bedre tid end jeg...?,[],jakobellemann
2020-05-05,"['#grøngenstart', '#dkpol']",Josephine Fock,21:25:48,Og derfor skal vi genstarte DK klogt med en klima og miljømæssig indsats der samtidig kan booste vores økonomi #grøngenstart #dkpol @alternativet_ https://twitter.com/politikdr/status/1257749918279581696 …,['https://twitter.com/politikdr/status/1257749918279581696'],josephinefock
2020-05-29,[],Rasmus Stoklund,20:50:24,Vrøvl Brian. Jeg skriver blot at jeg synes Løkke tager let på risikoen ved stor genåbning. Jeg arbejder med udlændingepolitik og afslører derfor intet om regeringens vurderinger/beslutninger i denne sammenhæng for dem har jeg ikke haft noget med at gøre.,[],rstoklund
2020-06-22,[],Simon Emil Ammitzbøll-Bille,11:29:03,Det har de jo sagt siden 2016. Ind til videre har V “gemt” sig under S...,[],ammitzbollbille
2020-04-22,[],Pia Olsen Dyhr,21:24:09,"Intet monopol, læs loven igen",[],piaolsen
2020-02-03,[],Josephine Fock,19:45:06,Tak☺️ https://twitter.com/SorenHave/status/1224379142046650368 …,['https://twitter.com/SorenHave/status/1224379142046650368'],josephinefock
2020-02-12,[],Simon Emil Ammitzbøll-Bille,16:09:45,Lad google være din ven😉,[],ammitzbollbille
2020-04-13,[],Jakob Ellemann-Jensen,23:03:45,"Nej, det er da ikke. Det er noget så demokratisk som uenighed om indholdet.",[],jakobellemann
2020-03-22,"['#twitterhjerme', '#dkpol', '#frlleg']",Morten Messerschmidt,20:50:24,"Nå #twitterhjerme Er vi her allerede nu? Folk dør. Men kan vi alligevel lave politisk kampagne på krisen? Hvis regeringens ungdom siger ja, sætter det vel standarden..? Så hvad siger I, folks? #dkpol #frlleg? pic.twitter.com/yB6Go8unP6",[],mrmesserschmidt
2020-05-27,[],Signe Munk,14:16:18,Også her! ♻️🌎,[],signe_munk
2020-06-15,[],Mette Abildgaard,15:06:11,❤️❤️❤️ https://twitter.com/hannebjornk/status/1272508502808944644 …,['https://twitter.com/hannebjornk/status/1272508502808944644'],metteabildgaard
